2023-12-10 11:21:20,716 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:20,754 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:20,786 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:20,812 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:20,850 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:20,876 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:20,915 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:20,947 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:20,973 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:21,012 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:21,043 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:21,075 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:21,125 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:21,157 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:21,198 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:21,224 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:21,256 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:21,294 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:21,326 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:21,358 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:21,396 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:21,425 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:21,459 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:21,491 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:21,523 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:21,561 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:21,593 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:21,619 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:21,651 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:21,683 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:21,724 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:21,750 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:21,775 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:21,813 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:21,845 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:21,877 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
2023-12-10 11:21:21,915 ; dogbone.ui ; INFO ; 175; Mouse - active:False ended:False
2023-12-10 11:21:21,947 ; dogbone.ui ; DEBUG ; 176; current ID: None
2023-12-10 11:21:21,988 ; dogbone.ui ; INFO ; 225; onPreSelect - active:False ended:False
2023-12-10 11:21:22,020 ; dogbone.ui ; DEBUG ; 226; current ID: None
2023-12-10 11:21:22,052 ; dogbone.decorators.isSelected ; DEBUG ; 99; is selectable: True
